epoch,phase,class_index,class_name,support,tp,fp,fn,tn,precision,recall,f1,average_precision,false_positive_rate,false_negative_rate
1,head_training,0,plastic,1220,1002,145,218,2129,0.87358,0.82131,0.84664,0.92619,0.06376,0.17869
1,head_training,1,paper,1429,1216,145,213,1920,0.89346,0.85094,0.87168,0.94568,0.07022,0.14906
1,head_training,2,metal,394,372,122,22,2978,0.75304,0.94416,0.83784,0.94616,0.03935,0.05584
1,head_training,3,organic_waste,340,335,7,5,3147,0.97953,0.98529,0.9824,0.99345,0.00222,0.01471
1,head_training,4,none,111,101,49,10,3334,0.67333,0.90991,0.77395,0.84709,0.01448,0.09009
2,head_training,0,plastic,1220,999,130,221,2144,0.88485,0.81885,0.85057,0.93961,0.05717,0.18115
2,head_training,1,paper,1429,1247,148,182,1917,0.89391,0.87264,0.88314,0.95721,0.07167,0.12736
2,head_training,2,metal,394,375,115,19,2985,0.76531,0.95178,0.84842,0.95866,0.0371,0.04822
2,head_training,3,organic_waste,340,338,4,2,3150,0.9883,0.99412,0.9912,0.99576,0.00127,0.00588
2,head_training,4,none,111,103,35,8,3348,0.74638,0.92793,0.82731,0.88144,0.01035,0.07207
3,head_training,0,plastic,1220,999,115,221,2159,0.89677,0.81885,0.85604,0.94699,0.05057,0.18115
3,head_training,1,paper,1429,1256,146,173,1919,0.89586,0.87894,0.88732,0.9609,0.0707,0.12106
3,head_training,2,metal,394,379,116,15,2984,0.76566,0.96193,0.85264,0.96415,0.03742,0.03807
3,head_training,3,organic_waste,340,338,6,2,3148,0.98256,0.99412,0.9883,0.99571,0.0019,0.00588
3,head_training,4,none,111,105,34,6,3349,0.7554,0.94595,0.84,0.89828,0.01005,0.05405
4,head_training,0,plastic,1220,1015,130,205,2144,0.88646,0.83197,0.85835,0.94709,0.05717,0.16803
4,head_training,1,paper,1429,1242,128,187,1937,0.90657,0.86914,0.88746,0.96306,0.06199,0.13086
4,head_training,2,metal,394,378,121,16,2979,0.75752,0.95939,0.84658,0.96379,0.03903,0.04061
4,head_training,3,organic_waste,340,338,6,2,3148,0.98256,0.99412,0.9883,0.99727,0.0019,0.00588
4,head_training,4,none,111,104,32,7,3351,0.76471,0.93694,0.84211,0.8956,0.00946,0.06306
5,head_training,0,plastic,1220,1035,125,185,2149,0.89224,0.84836,0.86975,0.94993,0.05497,0.15164
5,head_training,1,paper,1429,1263,139,166,1926,0.90086,0.88383,0.89226,0.96454,0.06731,0.11617
5,head_training,2,metal,394,375,88,19,3012,0.80994,0.95178,0.87515,0.96914,0.02839,0.04822
5,head_training,3,organic_waste,340,338,5,2,3149,0.98542,0.99412,0.98975,0.99785,0.00159,0.00588
5,head_training,4,none,111,102,24,9,3359,0.80952,0.91892,0.86076,0.91127,0.00709,0.08108
6,fine_tuning,0,plastic,1220,1075,97,145,2177,0.91724,0.88115,0.89883,0.96832,0.04266,0.11885
6,fine_tuning,1,paper,1429,1294,118,135,1947,0.91643,0.90553,0.91095,0.97613,0.05714,0.09447
6,fine_tuning,2,metal,394,379,59,15,3041,0.8653,0.96193,0.91106,0.98129,0.01903,0.03807
6,fine_tuning,3,organic_waste,340,339,4,1,3150,0.98834,0.99706,0.99268,0.99953,0.00127,0.00294
6,fine_tuning,4,none,111,106,23,5,3360,0.82171,0.95495,0.88333,0.95545,0.0068,0.04505
7,fine_tuning,0,plastic,1220,1079,60,141,2214,0.94732,0.88443,0.91479,0.97587,0.02639,0.11557
7,fine_tuning,1,paper,1429,1331,107,98,1958,0.92559,0.93142,0.9285,0.98079,0.05182,0.06858
7,fine_tuning,2,metal,394,387,63,7,3037,0.86,0.98223,0.91706,0.98556,0.02032,0.01777
7,fine_tuning,3,organic_waste,340,339,5,1,3149,0.98547,0.99706,0.99123,0.99978,0.00159,0.00294
7,fine_tuning,4,none,111,104,19,7,3364,0.84553,0.93694,0.88889,0.96439,0.00562,0.06306
8,fine_tuning,0,plastic,1220,1120,72,100,2202,0.9396,0.91803,0.92869,0.97936,0.03166,0.08197
8,fine_tuning,1,paper,1429,1330,83,99,1982,0.94126,0.93072,0.93596,0.98472,0.04019,0.06928
8,fine_tuning,2,metal,394,387,38,7,3062,0.91059,0.98223,0.94505,0.99073,0.01226,0.01777
8,fine_tuning,3,organic_waste,340,338,2,2,3152,0.99412,0.99412,0.99412,0.99988,0.00063,0.00588
8,fine_tuning,4,none,111,107,17,4,3366,0.8629,0.96396,0.91064,0.97272,0.00503,0.03604
9,fine_tuning,0,plastic,1220,1135,76,85,2198,0.93724,0.93033,0.93377,0.98311,0.03342,0.06967
9,fine_tuning,1,paper,1429,1331,76,98,1989,0.94598,0.93142,0.93865,0.98715,0.0368,0.06858
9,fine_tuning,2,metal,394,385,26,9,3074,0.93674,0.97716,0.95652,0.99141,0.00839,0.02284
9,fine_tuning,3,organic_waste,340,338,3,2,3151,0.9912,0.99412,0.99266,0.99987,0.00095,0.00588
9,fine_tuning,4,none,111,106,18,5,3365,0.85484,0.95495,0.90213,0.97119,0.00532,0.04505
10,fine_tuning,0,plastic,1220,1122,64,98,2210,0.94604,0.91967,0.93267,0.98269,0.02814,0.08033
10,fine_tuning,1,paper,1429,1356,88,73,1977,0.93906,0.94892,0.94396,0.98666,0.04262,0.05108
10,fine_tuning,2,metal,394,384,22,10,3078,0.94581,0.97462,0.96,0.99103,0.0071,0.02538
10,fine_tuning,3,organic_waste,340,338,3,2,3151,0.9912,0.99412,0.99266,0.99987,0.00095,0.00588
10,fine_tuning,4,none,111,105,12,6,3371,0.89744,0.94595,0.92105,0.97696,0.00355,0.05405
11,fine_tuning,0,plastic,1220,1157,83,63,2191,0.93306,0.94836,0.94065,0.98283,0.0365,0.05164
11,fine_tuning,1,paper,1429,1342,56,87,2009,0.95994,0.93912,0.94942,0.98873,0.02712,0.06088
11,fine_tuning,2,metal,394,383,18,11,3082,0.95511,0.97208,0.96352,0.99277,0.00581,0.02792
11,fine_tuning,3,organic_waste,340,338,2,2,3152,0.99412,0.99412,0.99412,0.99986,0.00063,0.00588
11,fine_tuning,4,none,111,105,10,6,3373,0.91304,0.94595,0.9292,0.97515,0.00296,0.05405
12,fine_tuning,0,plastic,1220,1148,77,72,2197,0.93714,0.94098,0.93906,0.98577,0.03386,0.05902
12,fine_tuning,1,paper,1429,1352,72,77,1993,0.94944,0.94612,0.94777,0.98942,0.03487,0.05388
12,fine_tuning,2,metal,394,380,9,14,3091,0.97686,0.96447,0.97063,0.99257,0.0029,0.03553
12,fine_tuning,3,organic_waste,340,338,2,2,3152,0.99412,0.99412,0.99412,0.99983,0.00063,0.00588
12,fine_tuning,4,none,111,106,10,5,3373,0.91379,0.95495,0.93392,0.97905,0.00296,0.04505
13,fine_tuning,0,plastic,1220,1144,68,76,2206,0.94389,0.9377,0.94079,0.98625,0.0299,0.0623
13,fine_tuning,1,paper,1429,1354,73,75,1992,0.94884,0.94752,0.94818,0.98985,0.03535,0.05248
13,fine_tuning,2,metal,394,383,18,11,3082,0.95511,0.97208,0.96352,0.99275,0.00581,0.02792
13,fine_tuning,3,organic_waste,340,338,1,2,3153,0.99705,0.99412,0.99558,0.99972,0.00032,0.00588
