epoch,phase,accuracy,macro_precision,macro_recall,macro_f1,mean_average_precision,none_false_positive_as_material_rate,material_predicted_as_none_rate,mean_top1_confidence,mean_top1_top2_margin,worst_recall_class,worst_f1_class,worst_ap_class
1,head_training,0.86606,0.83459,0.90232,0.8625,0.93171,0.09009,0.01448,0.81059,0.68162,plastic,none,none
2,head_training,0.87636,0.85575,0.91306,0.88013,0.94654,0.07207,0.01035,0.83359,0.71555,plastic,none,none
3,head_training,0.88065,0.85925,0.91996,0.88486,0.95321,0.05405,0.01005,0.83947,0.72544,plastic,none,none
4,head_training,0.88065,0.85956,0.91831,0.88456,0.95336,0.06306,0.00946,0.84358,0.73137,plastic,none,none
5,head_training,0.89096,0.8796,0.9194,0.89753,0.95854,0.08108,0.00709,0.85695,0.75187,plastic,none,none
6,fine_tuning,0.91385,0.9018,0.94012,0.91937,0.97614,0.04505,0.0068,0.88469,0.79928,plastic,none,none
7,fine_tuning,0.9273,0.91278,0.94642,0.92809,0.98128,0.06306,0.00562,0.88616,0.80288,plastic,none,none
8,fine_tuning,0.93932,0.92969,0.95781,0.94289,0.98548,0.03604,0.00503,0.90214,0.83182,plastic,none,none
9,fine_tuning,0.94305,0.9332,0.9576,0.94475,0.98655,0.04505,0.00532,0.90911,0.84409,plastic,none,none
10,fine_tuning,0.94591,0.94391,0.95665,0.95007,0.98744,0.05405,0.00355,0.9103,0.84934,plastic,none,none
11,fine_tuning,0.95163,0.95106,0.95992,0.95538,0.98787,0.05405,0.00296,0.91556,0.85825,paper,none,none
12,fine_tuning,0.95135,0.95427,0.96013,0.9571,0.98933,0.04505,0.00296,0.9195,0.86558,plastic,none,none
13,fine_tuning,0.95163,0.95333,0.96127,0.95723,0.99005,0.04505,0.00266,0.91724,0.86351,plastic,none,none
14,fine_tuning,0.95478,0.9582,0.95929,0.95872,0.98956,0.06306,0.00266,0.92016,0.87013,none,none,none
15,fine_tuning,0.95449,0.9567,0.95488,0.95578,0.99043,0.09009,0.00266,0.92497,0.87835,none,none,none
16,fine_tuning,0.95564,0.95745,0.95532,0.95632,0.99049,0.08108,0.00296,0.92323,0.87687,none,none,none
17,fine_tuning,0.96222,0.96031,0.9705,0.96517,0.98924,0.02703,0.00325,0.92638,0.88225,plastic,none,none
18,fine_tuning,0.9605,0.95915,0.96314,0.96106,0.99103,0.06306,0.00296,0.92291,0.8777,none,none,none
19,fine_tuning,0.95707,0.95798,0.96366,0.96074,0.99094,0.05405,0.00266,0.92083,0.87632,paper,none,none
20,fine_tuning,0.95764,0.96174,0.96032,0.96095,0.99072,0.07207,0.00207,0.9256,0.88311,none,none,none
21,fine_tuning,0.96022,0.96291,0.9631,0.96299,0.99103,0.06306,0.00207,0.92878,0.88782,none,none,none
22,fine_tuning,0.96136,0.96382,0.96102,0.9624,0.99145,0.08108,0.00207,0.92363,0.88174,none,none,none
23,fine_tuning,0.96022,0.96332,0.96383,0.96355,0.99129,0.06306,0.00207,0.93461,0.89702,none,none,none
24,fine_tuning,0.96251,0.96261,0.96277,0.96269,0.99172,0.07207,0.00266,0.93156,0.89405,none,none,none
25,fine_tuning,0.96108,0.96148,0.96452,0.96294,0.99155,0.06306,0.00236,0.92557,0.88523,none,none,none
26,fine_tuning,0.96337,0.96279,0.96371,0.96325,0.99075,0.07207,0.00236,0.93188,0.89483,none,none,none
27,fine_tuning,0.96451,0.9651,0.96439,0.96475,0.99175,0.07207,0.00236,0.92664,0.88883,none,none,none
28,fine_tuning,0.96251,0.96284,0.96511,0.96395,0.99161,0.06306,0.00266,0.92914,0.89207,none,none,none
29,fine_tuning,0.96394,0.96458,0.96294,0.96374,0.99128,0.08108,0.00236,0.93199,0.89609,none,none,none
30,fine_tuning,0.96251,0.96425,0.96393,0.96406,0.99189,0.07207,0.00236,0.93176,0.89597,none,none,none
31,fine_tuning,0.96365,0.96318,0.96254,0.96285,0.99108,0.08108,0.00236,0.93035,0.89368,none,none,none
32,fine_tuning,0.96222,0.96144,0.96619,0.96376,0.99187,0.05405,0.00266,0.93437,0.90018,plastic,none,none
33,fine_tuning,0.96422,0.96221,0.96614,0.96415,0.99151,0.06306,0.00266,0.93535,0.90189,none,none,none
34,fine_tuning,0.96136,0.96167,0.96488,0.96324,0.99101,0.06306,0.00236,0.92861,0.89215,none,none,none
35,fine_tuning,0.96222,0.96372,0.9645,0.9641,0.99292,0.06306,0.00207,0.93239,0.89798,none,none,none
36,fine_tuning,0.96623,0.96679,0.96355,0.96515,0.99149,0.08108,0.00207,0.93152,0.89643,none,none,none
37,fine_tuning,0.96079,0.96385,0.95993,0.96187,0.99186,0.08108,0.00207,0.9266,0.8901,none,none,none
38,fine_tuning,0.96508,0.96183,0.96519,0.96347,0.99274,0.06306,0.00296,0.93284,0.89903,none,none,none
39,fine_tuning,0.96165,0.96237,0.96288,0.96256,0.99234,0.06306,0.00266,0.93026,0.89588,none,none,none
40,fine_tuning,0.96451,0.96075,0.96424,0.96247,0.99222,0.07207,0.00296,0.93287,0.90076,none,none,none
